REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
30923,21.952.846/0001-00,ANIMAZOO ENTRETENIMENTO LTDA,TELEVISÃO LAGES LTDA,83.012.013/0001-08
33091,17.128.531/0001-67,SAPDL PRODUÇÕES ARTÍSTICAS E EDITORA LTDA EPP,GABRIEL ARAGAO DE CARVALHO LTDA,43.288.031/0001-00
45252,09.144.180/0001-50,BABEL PUBLICIDADE LTDA,BABEL AZZA AGENCIA DE PUBLICIDADE LTDA,20.877.608/0001-06
1660,14.714.331/0001-06,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA,CINEMAS PARIS ORIENT LTDA,86.985.587/0001-50
2849,06.107.805/0001-15,ITAIGARA PLEXCINE LTDA.,CINEMAS PARIS ORIENT LTDA,86.985.587/0001-50
1660,14.714.331/0001-06,ORIENT FILMES - DISTRIBUIDORA DE FILMES LTDA,ITAIGARA PLEXCINE LTDA.,06.107.805/0001-15
33770,24.971.903/0001-88,TUBARÃO FILMES LTDA,JUBARTE FILMES LTDA-ME,05.297.810/0001-75
23411,17.238.024/0001-86,MELQUIADES & CALDEIRA LTDA ME,W DE S MELQUIADES PUBLICIDADE ME,07.517.296/0001-61
27002,18.147.334/0001-58,MISTURA LOUCA PRODUÇOES ARTISTICAS LTDA,WORK SHOW PRODUCOES E ENTRETENIMENTO ARTISTICOS LTDA,20.077.216/0001-62
7073,61.067.492/0001-27,OGILVY & MATHER BRASIL COMUNICAÇÃO LTDA,MUTATO ENTRETENIMENTO CONTEUDO E PUBLICIDADE LTDA,73.039.380/0001-41
12489,08.537.690/0001-24,VIA SUL CINEMATOGRÁFICA LTDA,CINEMATOGRÁFICA PIÚMA LTDA,19.387.261/0001-34
5221,04.736.746/0001-19,CINEMATOGRÁFICA CACHOEIRO LTDA ME,CINEMATOGRÁFICA PIÚMA LTDA,19.387.261/0001-34
47917,39.275.974/0001-13,CINE MANHORI LTDA.,DIEGO JOSE MARINHO ME,14.269.986/0001-04
44414,34.626.954/0001-26,CINE LASER NORTE CINEMA LTDA,CINE LASER CINEMAS UMUARAMA LTDA,40.850.944/0001-72
3304,04.287.585/0001-23,CRSM PRODUÇÕES ARTÍSTICAS LTDA.,T2A PARTICIPAÇÕES LTDA,32.138.883/0001-97
25169,17.666.476/0001-69,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,T2A PARTICIPAÇÕES LTDA,32.138.883/0001-97
41994,30.092.940/0001-19,HUGO LEONARDO THEOBALD 06925212755,H L THEOBALD FILMES,33.916.629/0001-35
41338,27.592.561/0001-83,CACHOEIRA FILMES LTDA - EPP,RAFAEL DA COSTA DA SILVA 09642380714,17.994.086/0001-18
2836,52.067.071/0001-05,EMPRESA SAO LUIZ DE CINEMAS LTDA,CINE ELI AMAZONAS CINEMAS LTDA,28.619.116/0001-22
15711,08.940.950/0001-08,BUENA ESTUDIOS PRODUÇÃO E ENTRETENIMENTO LTDA,BRAGA & BRAGA PRODUÇÃO CINEMATOGRÁFICA LTDA.,33.906.687/0001-88
19299,13.914.178/0001-90,CARAVELA FILMES LTDA.,LEME FILMES E PRODUÇÕES CINEMATOGRAFICAS LTDA,09.450.599/0001-30
3500,03.274.384/0001-29,BELLI STUDIO DESIGN LTDA.,BELLI STUDIO PRODUÇÕES LTDA,10.014.361/0001-40
16713,11.620.976/0001-83,VITRINE FILMES LTDA,RETRATO FILMES LTDA,31.296.141/0001-27
49849,43.713.936/0001-72,ESPAÇO DE CINEMA SUL LTDA,CINE COMERCIAL PASSO FUNDO LTDA,27.380.966/0001-58
1083,01.425.583/0001-65,CIRCUITO CINEARTE LTDA,CINE COMERCIAL PASSO FUNDO LTDA,27.380.966/0001-58
2735,05.774.116/0001-00,CINEARTE MORUMBI LTDA,CINE COMERCIAL PASSO FUNDO LTDA,27.380.966/0001-58
15792,10.594.236/0001-57,TOUAREG AGÊNCIA DE CONTEÚDO LTDA.,A. P. VASCONCELOS PADRAO PRODUCOES LTDA,07.346.770/0001-30
45088,29.620.505/0001-30,BRODERS FILMES LTDA,IMAGEMNATION STUDIO E PRODUÇÕES LTDA,17.283.437/0001-82
51651,46.833.682/0001-14,LEMONADE LAB LTDA,LEMONADE HUB LTDA EPP,43.551.784/0001-59
46311,32.648.863/0001-66,LEMONADE CONTEUDO,LEMONADE HUB LTDA EPP,43.551.784/0001-59
6445,52.097.649/0001-76,ZABUMBA AUDIOVISUAL E EXPRESSOES CULTURAIS EIRELI,VEREDAS COMUNICAÇÃO E ARTE LTDA.,00.605.488/0001-80
34002,21.335.446/0001-47,ALINE DA SILVA MOREIRA,ALINE DA SILVA MOREIRA - ME,28.450.630/0001-87
22538,16.835.137/0001-04,CLARALUZ PRODUCOES AUDIOVISUAIS LTDA,FETICHE PRODUÇÕES AUDIOVISUAIS LTDA.,31.899.210/0001-97
18830,12.301.239/0001-80,KOMBAT FILMS LTDA,GLITTER PRODUÇÕES ARTÍSTICAS LTDA,09.477.867/0001-07
24508,17.293.506/0001-39,AMORA FILMES LTDA.,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,23.522.087/0001-62
21145,11.329.282/0001-91,SPHERE PRODUCTIONS PRODUÇÃO E COMÉRCIO DE FILMES LTDA. ME,TV PONTO COMUNICACAO EIRELI,20.737.089/0001-80
16894,09.633.250/0001-33,ESFERA PRODUÇÕES E COMÉRCIO DE FILMES LTDA-ME,TV PONTO COMUNICACAO EIRELI,20.737.089/0001-80
48303,41.521.334/0001-98,JAVALI DO MAR EXPERIMENTACOES ARTISTICAS LTDA. - ME.,LEBEN 108 PRODUTORA DE FILMES LTDA,12.709.052/0001-10
48099,28.840.471/0001-27,ALIVE MEDIA CONTENT LTDA,DIGITAL VÍDEO PRODUÇÕES S/C LTDA ME,02.736.355/0001-79
1500,02.608.224/0001-06,CANAL BRAZIL S/A,GLOBO COMUNICACAO E PARTICIPACOES S/A,27.865.757/0001-02
52531,23.682.751/0001-30,CINE A SERVIÇOS LTDA,CINE A MARABA LTDA,21.160.773/0001-05
18766,11.433.396/0001-87,AUWE DIGITAL S.A.,RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA,07.949.581/0001-51
407,02.660.571/0001-88,INDIE RECORDS LTDA,RAIN NETWORK REPRESENTAÇÃO COMERCIAL LTDA,07.949.581/0001-51
15742,06.017.510/0001-58,COMPANHIA RIO BONITO - COMUNICAÇÕES,PRH9 PRODUÇÕES S/A,02.396.693/0001-09
3293,04.334.366/0001-58,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,PRH9 PRODUÇÕES S/A,02.396.693/0001-09
46945,25.210.560/0001-00,TRADE COMUNICACAO LTDA,DEEP BLUE FILMS LTDA ME,20.711.135/0001-72
12946,33.050.733/0001-90,RADIO E TELEVISAO BANDEIRANTES DO RIO DE JANEIRO S.A.,RADIO E TELEVISAO BANDEIRANTES S.A.,60.509.239/0001-13
40547,30.759.883/0001-89,PAIVA & PINHEIRO SERVIÇOS DE COMUNICAÇÃO LTDA,P E P SERVIÇOS DE COMUNICAÇÃO EIRELI - EPP,21.810.900/0001-74
121,72.618.820/0001-52,MISTER GRAFIX PRODUÇÕES LTDA,CENA 1 PRODUÇÕES LTDA,02.899.751/0001-17
21300,04.072.056/0001-02,MP PRODUÇÕES LTDA,RCN PRODUÇÕES LTDA,32.434.668/0001-33
37664,28.175.014/0001-65,CRISTIANE SANTOS DE LEMOS,CELLULOID CINEVÍDEO LTDA,02.060.508/0001-00
21599,10.258.858/0001-04,PEQUI GRAVAÇÕES LTDA,PEQUI FILMES LTDA,06.247.686/0001-04
29583,20.290.522/0001-82,RENDERFRAME PRODUÇÕES AUDIOVISUAIS LTDA,44 BICO LARGO COMERCIAL LTDA,01.287.007/0001-07
44837,35.441.232/0001-60,REDECINE SANTOS CINEMATOGRAFICA LTDA,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,14.859.056/0001-00
25182,18.672.374/0001-19,REDECINE SUL CINEMAS LTDA.,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,14.859.056/0001-00
41787,27.028.270/0001-67,ARVORE EXPERIENCIAS IMERSIVAS EIRELI,FAZENDA URBANA DIGITAL PRODUÇÕES LTDA - ME,10.809.086/0001-51
44922,26.104.423/0001-45,ATENEA PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA,GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA,32.656.607/0001-10
27895,07.477.879/0001-06,BENGUELA PRODUÇÕES E EVENTOS CULTURAIS LTDA ME,RINOCERONTE ENTRETENIMENTO E PRODUCAO LTDA.,10.756.371/0001-51
11880,08.378.645/0001-74,SPIRIT ENTRETENIMENTO LTDA,SPIRIT RECORDS PRODUÇÕES CINEMATOGRÁFICAS EIRELI,33.281.897/0001-28
27992,16.972.426/0001-47,BROTHERS LICENCIADORA DE MARCAS E SERVIÇOS LTDA,TELO PRODUÇÕES ARTÍSTICAS LTDA,11.412.556/0001-01
623,25.166.281/0001-88,TELEVISAO SUL DE MINAS S/A,O. A. EVENTOS LTDA,20.005.659/0001-48
45730,31.033.465/0001-72,TANTAS PRODUÇÕES ARTÍSTICAS LTDA.,GAIVOTA PRODUÇÕES ARTÍSTICAS LTDA.,16.519.643/0001-86
17176,11.641.212/0001-74,REAIS FILMES LTDA,JÁ FILMES S/S LTDA,04.152.993/0001-78
42645,07.589.677/0001-56,ASSOCIAÇÃO DE PROMOÇÃO DA CIDADANIA E DESENVOLVIMENTO SOCIAL,NEXO INTELIGENCIA EM PROJETOS E CONSULTORIA LTDA,44.478.817/0001-45
37714,28.432.721/0001-90,TOMADA DE ARTE FILMES LTDA.,TELEVISÃO AMÉRICA LATINA,05.576.331/0001-98
22877,10.521.361/0001-37,TROPA FILMES E PRODUÇÕES LTDA,BIGORNA FILMES PRODUÇÃO AUDIOVISUAL LTDA,19.132.684/0001-03
22341,15.777.407/0001-05,A&E OLE AUDIOVISUAL SERVICOS E REPRESENTACOES LTDA.,NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.,45.717.879/0001-25
22461,15.777.180/0001-90,AMC NETWORKS SERVIÇOS DE TELEVISÃO DO BRASIL LTDA,NBC UNIVERSAL NETWORKS INTERNATIONAL BRASIL LTDA.,45.717.879/0001-25
39833,30.370.614/0001-26,MACHINE FILMES LTDA,MOUSE HOUSE PRODUCOES LTDA - ME,14.932.468/0001-29
49694,40.737.325/0001-76,GLM MARKETING SOLUÇÕES EMPRESARIAIS EIRELI,CANOA PRODUÇÕES AUDIOVISUAIS LTDA. - EPP,26.509.347/0001-58
48447,36.686.238/0001-60,AGÊNCIA DE PUBLICIDADE EPK LTDA,EPIC FILMES LTDA,44.342.985/0001-09
25138,12.977.169/0001-85,NEW WAVE MEDIA PRODUÇÕES LTDA,MEDIA BRIDGE PRODUÇÕES LTDA.,13.110.657/0001-53
25973,15.691.691/0001-94,DGT SERVIÇOS DE MONITORAMENTO LTDA,QUANTA POST FINALIZAÇÃO DE PRODUÇÕES CINEMATOGRÁFICAS LTDA,14.690.827/0001-89
20526,14.485.605/0001-24,CAMPOS PRODUCOES LTDA ME,CAMPOS PROPAGANDA LTDA.,00.436.525/0001-74
29559,21.794.239/0001-50,BLOWUP PRODUCOES DE FILMES EIRELLE - ME,ANIMA PRODUÇÕES LTDA,08.660.608/0001-54
40848,06.727.170/0001-59,MONTAGEM PARALELA PROJETOS AUDIOVISUIAS E COMUNICACAO LTDA - ME,FLORESTA URBANA AUDIOVISUAL E COMUNICACAO LTDA,41.584.659/0001-10
27942,20.520.970/0001-25,CASA AMARELA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA,YOU BRASIL CONTEUDO E MARKETING LTDA,04.301.346/0001-80
16394,08.723.626/0001-38,DMP MARKETING E PROMOÇÃO LTDA,DIVULGAÇÃO PUBLICIDADE LTDA,03.814.031/0001-74
46310,33.650.451/0001-23,BENZEDEIRA FILMES LTDA,L C V VIDEO COMUNICACAO LTDA,00.035.225/0001-83
41215,04.175.579/0001-84,FUNDAÇÃO EDUCATIVA E CULTURAL EDILSON BRANDÃO GUIMARÃES,MARINHO & SANTOS LIMITADA,14.161.904/0001-03
52125,43.288.031/0001-00,GABRIEL ARAGAO DE CARVALHO LTDA,SAPDL PRODUÇÕES ARTÍSTICAS E EDITORA LTDA EPP,17.128.531/0001-67
2000,04.436.575/0001-02,GOD PRODUÇÕES DE VIDEOS LTDA,RADIO E TELEVISAO DIARIO DE MOGI LTDA,67.344.440/0001-37
47520,14.859.056/0001-00,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,REDECINE RIO GRANDE CINEMATOGRAFICA LTDA,35.804.953/0001-97
22774,13.871.039/0001-26,ROMANCE PRODUÇÕES ARTÍSTICAS LTDA,ARROCHA PROMOÇÕES ARTÍSTICAS LTDA,15.499.470/0001-19
17268,09.001.792/0001-93,J&M PRODUÇÕES ARTISTICAS LTDA.,ARROCHA PROMOÇÕES ARTÍSTICAS LTDA,15.499.470/0001-19
37228,28.153.563/0001-39,CINECOM ENTRETENIMENTO LTDA,CAMARADA FILMES LTDA - ME.,79.052.494/0001-08
31641,21.257.121/0001-93,CINEMATOGRÁFICA CATAGUASES LTDA EPP,CINEMATOGRAFICA CINEMA UBA LTDA,35.486.652/0001-62
17960,10.785.071/0001-09,ANIMA NOVA MIDIA INTERMEDIAÇÃO DE NEGÓCIOS LTDA.,BKS DUBLAGENS DO BRASIL LTDA,04.947.418/0001-61
19540,42.465.229/0001-41,AEB PRODUÇÕES LTDA,BOSSA PRODUÇÕES LTDA,04.876.666/0001-69
1753,30.452.221/0001-61,CAZUZO PROMOÇÕES ARTISTISCAS LTDA.,"ALER PRODUCOES CINEMATOGRAFICAS, ARTISTICAS E TEATRAIS LTDA",30.972.419/0001-76
26611,12.809.119/0001-99,"MONEWA - COMUNICAÇÃO, PRODUÇÕES E SERVIÇOS LTDA",OBARÁ PRODUÇÕES ARTÍSTICAS LTDA,73.782.252/0001-93
41527,24.137.983/0001-70,O LUIZ MINUZZI ME,BORANÓS MERCADO PUBLICITÁRIO LTDA,12.529.605/0001-53
43818,33.946.707/0001-44,PRODUZIR VIDEOS LTDA,WVC VIDEO E COMUNICAÇÃO LTDA,01.654.654/0001-00
14310,10.207.392/0001-18,CAVALLARIA FILMES E PRODUCOES CULTURAIS LTDA,DQKER FILMES EIRELI,17.800.883/0001-17
52867,47.620.410/0001-07,CINEMAS HENKES E HENKES LTDA,CINEMAS H RIBEIRO GUANAMBI LTDA,31.728.035/0001-75
52398,47.500.783/0001-36,HENKES E RIBEIRO BARREIRAS LTDA,CINEMAS H RIBEIRO GUANAMBI LTDA,31.728.035/0001-75
662,62.599.691/0001-49,SERTEL VÍDEO LTDA - ME,5PONTO3 DIGITAL LTDA,63.943.476/0001-86
25418,18.856.074/0001-90,GILBERTO CHAVES DA SILVA - ME,CRIATIVA AUDIOVISUAL LTDA,09.942.944/0001-52
5884,07.705.185/0001-89,CAFEU FILMES E ILUSTRAÇÕES LTDA,CAFEU FILMES E ANIMAÇÕES LTDA,33.069.697/0001-06
23404,14.182.503/0001-30,TRAMELA FILMES LTDA. ME,TARJA PRETA PRODUÇÕES LTDA,18.502.378/0001-59
28660,40.432.544/0001-47,CLARO S.A.,TELMEX DO BRASIL S.A.,02.667.694/0001-40
52560,24.815.120/0001-05,NIRVANA TECNOLOGIA DIGITAL LTDA,GO BROCCOLI PRODUÇÕES LTDA,32.274.483/0001-09
4804,06.071.909/0001-17,IN BRANDS WE TRUST MARKETING E DISTRIBUIÇÃO LTDA,DOGS CAN FLY PRODUÇÕES CINEMATOGRÁFICAS LTDA,12.394.570/0001-92
42227,27.071.783/0001-50,AMARANTOS ELEVA LTDA ME,CHANTILLY PRODUÇÕES ARTÍSTICAS LTDA,00.737.250/0001-09
27352,17.270.948/0001-60,MAR DE GENTE PRODUÇÃO ARTISTICAS LTDA,CHANTILLY PRODUÇÕES ARTÍSTICAS LTDA,00.737.250/0001-09
4375,45.515.558/0001-48,GM ARAUJO CINEMATOGRAFICA LTDA,EMPRESA CINEMATOGRÁFICA ARAUJO LTDA,01.172.224/0001-43
39593,30.147.642/0001-89,INSULA FILMES LTDA,GABRIELA MACHADO BRIGAGAO 40043340806,22.268.426/0001-63
49425,08.185.656/0001-38,A B S DE LIMA PRODUÇÕES,PRODUKA FILMES LTDA,29.061.581/0001-53
49849,43.713.936/0001-72,ESPAÇO DE CINEMA SUL LTDA,CINEMA VILLAGGIO LTDA,07.938.916/0001-36
17380,12.094.302/0001-55,ACENA AUDIOVISUAIS LTDA - ME,JOSE LUIZ F. LAU - ME,02.222.687/0001-35
37147,09.053.054/0001-90,SUNSET PUBLICIDADE E MARKETING LTDA,CASA DA CRIAÇÃO PUBLICIDADE DE MARKETING LTDA,11.057.877/0001-35
23034,54.937.669/0001-33,VIDEO-TRACK LTDA - ME,MOVIE TRACK CINEMA E TELEVISÃO LTDA,01.643.609/0001-41
15742,06.017.510/0001-58,COMPANHIA RIO BONITO - COMUNICAÇÕES,RADIO E TELEVISÃO BANDEIRANTES DE MINAS GERAIS LTDA,17.184.649/0001-02
3733,29.255.148/0001-59,DREAMVISION FILM AND VIDEO PRODUCTION LTDA,DILER & ASSOCIADOS LTDA,00.291.470/0001-51
51651,46.833.682/0001-14,LEMONADE LAB LTDA,LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.,07.870.610/0001-95
49706,43.551.784/0001-59,LEMONADE HUB LTDA EPP,LEMONADE PRODUÇÕES ARTÍSTICAS LTDA.,07.870.610/0001-95
17997,11.211.707/0001-63,LOCOMOTIVA FILMES LTDA - ME,AMIGOS POR CARROS PRODUÇÕES DE VIDEO LTDA.,29.312.789/0001-06
50127,44.323.768/0001-71,GEFA COMERCIO E ENTRETENIMENTO LTDA,VICTORY EVENTOS & TURISMO LTDA,05.607.525/0001-03
30067,08.021.811/0001-80,RENATA DE TOLEDO RUDGE - ME,SARAVÁ FILMES LTDA ME,10.825.940/0001-73
17369,11.412.556/0001-01,TELO PRODUÇÕES ARTÍSTICAS LTDA,BROTHERS LICENCIADORA DE MARCAS E SERVIÇOS LTDA,16.972.426/0001-47
48037,37.339.302/0001-07,GAULES PRODUCAO AUDIOVISUAL E ESPORTIVA LTDA,CCXP EVENTOS LTDA,19.641.956/0001-09
50314,37.561.520/0001-83,LEONARDO DE SOUSA E SILVA PRODUCOES CINEMATOGRAFICA EIRELI,MANTRA PRODUCOES AUDIOVISUAIS LTDA,09.583.743/0001-06
40730,31.159.134/0001-83,RG PALMA EXIBICAO CINEMATOGRAFICA LTDA,GEFA COMERCIO E ENTRETENIMENTO LTDA,44.323.768/0001-71
33178,05.660.579/0001-32,LIBERTEM BARRABÁS FILMES LTDA ME,TMTA COMUNICAÇÕES LTDA,05.969.874/0001-75
3304,04.287.585/0001-23,CRSM PRODUÇÕES ARTÍSTICAS LTDA.,TAKE4 GESTÃO DE ATIVOS LTDA,28.833.314/0001-94
25169,17.666.476/0001-69,CSM PRODUÇÕES ARTÍSTICAS EIRELI-EPP,TAKE4 GESTÃO DE ATIVOS LTDA,28.833.314/0001-94
3547,03.246.961/0001-79,CAMERA 2 VIDEO FILMES LTDA,VISCONDE SUPORTE BROADCASTING LTDA - EPP,12.764.113/0001-42
1021,03.675.713/0001-43,CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME,UTLD PRODUCAO DE FIMES LTDA,40.462.838/0001-11
50237,36.371.899/0001-04,SILVIO SOARES DE TOLEDO PRODUCOES AUDIOVISUAIS EIRELI,SUPERNOVA PRODUCOES CINEMATOGRAFICAS LTDA,31.125.999/0001-29
44090,31.625.786/0001-66,LAGON FILMES LTDA,CAROLINA CALIRI DOS SANTOS 38344205816,34.781.742/0001-13
41912,30.704.772/0001-75,RAFAEL TEIXEIRA FIGUEIREDO 31039914870,F5 CREATIVE FILMS LTDA ME,10.927.293/0001-00
52425,39.993.898/0001-81,NAYMOVIE LOCAÇAO DE BENS LTDA.,TRAKCE EMPREENDIMENTOS E PARTICIPAÇÕES EIRELI,08.496.909/0001-94
23329,13.367.090/0001-03,CARLA LIMA ROCHA PRODUÇÕES ARTÍSTICAS LTDA.,TERRA DO VENTO PRODUÇÕES ARTISTICAS LTDA,27.240.786/0001-70
47520,14.859.056/0001-00,NETCINE ASSESSORIA DE NEGOCIO E INGRESSOS LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,23.669.825/0001-07
5654,07.665.262/0001-14,REDECINE-CPQ CINEMATOGRÁFICA LTDA,REDECINE GRANJA VIANNA ADMINISTRADORA SPE LTDA,23.669.825/0001-07
25182,18.672.374/0001-19,REDECINE SUL CINEMAS LTDA.,REDECINE PINDAMONHANGABA CINEMAS LTDA,34.408.375/0001-07
46112,37.510.759/0001-24,"FR3D PRODUCAO CINEMATOGRAFICA, TECNOLOGICA E CULTURAL EIRELI","GRAVIDADE ZERO PRODUTORA, COMUNICACAO E TECNOLOGIA LTDA",15.456.470/0001-31
38234,28.619.116/0001-22,CINE ELI AMAZONAS CINEMAS LTDA,CINE ELI SP CINEMAS LTDA,27.676.231/0001-76
50203,40.850.944/0001-72,CINE LASER CINEMAS UMUARAMA LTDA,CINE LASER CASCAVEL LTDA,47.093.852/0001-34
19456,08.708.519/0001-30,CINEMAS SANTOS RIBEIRO LTDA ME,CINEMAS RIBEIRO HENKES BARREIRAS LTDA ME,26.627.435/0001-54
43054,13.622.622/0001-01,SJ PEDROSO GRAVACAO E FILMAGEM LTDA,REC COM GRAVACAO E FILMAGEM - EIRELI,04.445.139/0001-08
48842,24.057.483/0001-29,SALA 33 LTDA,CARVALHO VALLE TECNOLOGIA LTDA,27.305.874/0001-03
4727,27.865.757/0001-02,GLOBO COMUNICACAO E PARTICIPACOES S/A,PB BRASIL ENTRETENIMENTO S.A,08.844.841/0001-97
14008,09.560.462/0001-38,CINE ART CAFÉ LTDA,CINE A LTDA,10.894.937/0001-01
39641,29.795.260/0001-82,LYS FILMES LTDA.,VALERIA LYS RIBEIRO E SILVA - EIRELI - ME,17.955.884/0001-30
15538,01.769.569/0001-89,TV GUARARAPES S.A.,TELEVISAO BORBOREMA S/A,08.843.922/0001-72
23766,13.878.620/0001-70,CINEBOUTIQUE CAMERA LUZES RENTAL LTDA,TERRAVISTA FILMES LTDA - EPP,18.869.787/0001-98
22269,14.807.981/0001-98,TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA,ALLAS PRODUÇÃO DE CONTEÚDO LTDA,40.070.329/0001-43
39868,16.853.265/0001-72,ALBA REGINA DA SILVA AZEVEDO,SENDA PRODUÇÕES AUDIOVISUAIS LTDA,32.370.115/0001-64
26054,17.212.870/0001-27,ASSOCIAÇÃO DE INTERAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE CULTURA E ESPORTE,"ASSOCIAÇÃO DE INTEGRAÇÃO DOS PRESTADORES DE SERVIÇOS A ARTE, CULTURA, ESPORTE E MEIO AMBIENTE",19.495.585/0001-96
28561,20.334.881/0001-94,C A VIEIRA LEMOS E CIA LTDA,MOBI CINE GURUPI LTDA,38.410.834/0001-48
37280,28.230.884/0001-90,LEMOS & MORAIS LTDA - ME,MOBI CINE GURUPI LTDA,38.410.834/0001-48
17628,08.913.231/0001-06,C.A.V. LEMOS,MOBI CINE GURUPI LTDA,38.410.834/0001-48
33204,24.053.006/0001-95,RTV DIGITAL LTDA - EPP,D.P. MALACHIAS - FILMES - ME,23.024.523/0001-73
295,02.727.130/0001-56,IMAN - IMAGENS ANIMADAS LTDA,CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS,09.050.059/0001-69
21932,97.544.294/0001-54,MUNDO PORTÁTIL COMÉRCIO DE DISCOS E BRINQUEDOS LTDA.,CAMPO 4 PRODUÇÕES CINEMATOGRÁFICAS,09.050.059/0001-69
36079,20.800.979/0001-90,INSTITUTO ABCCOM,FERNANDO MAURO PRODUÇÕES E PUBLICIDADE LTDA,33.550.566/0001-46
42989,09.425.544/0001-70,NAJA TELECOMUNICACOES LTDA,NOSSA TELECOM TELECOMUNICAÇÕES LTDA,16.982.291/0001-09
23914,14.874.206/0001-55,MARABERTO FILMES LTDA. - ME,GERMINAL PRODUÇÕES E EVENTOS CULTURAIS EIRELI,06.893.414/0001-73
4465,07.447.850/0001-81,30 PÉS FILMES LTDA.,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,68.153.956/0001-67
221,03.435.290/0001-94,FILMES MAIS LTDA,INK GERAÇÃO E PRODUÇÃO DE CONTEÚDOS LTDA,68.153.956/0001-67
25286,07.496.784/0001-30,BIG BANG COMUNICACAO AUDIOVISUAL LTDA,HALLEY CONTENT PRODUÇÃO CINEMATOGRAFICA LTDA,32.685.103/0001-29
16894,09.633.250/0001-33,ESFERA PRODUÇÕES E COMÉRCIO DE FILMES LTDA-ME,SPHERE PRODUCTIONS PRODUÇÃO E COMÉRCIO DE FILMES LTDA. ME,11.329.282/0001-91
42946,27.233.685/0001-72,COLETIVA SETE PRODUTORA DE SOM E IMAGEM LTDA,HAND7 PRODUCOES AUDIOVISUAIS LTDA,38.259.283/0001-63
19608,07.775.527/0001-37,GRUPO DE AÇÃO SOCIAL AFRO REGGAE - GAS,AA - AFROREGGAE AUDIOVISUAL S.A.,03.247.208/0001-06
17753,73.322.240/0001-86,GRUPO CULTURAL AFRO REGGAE,AA - AFROREGGAE AUDIOVISUAL S.A.,03.247.208/0001-06
14950,08.419.700/0001-27,SUPER HD VÍDEO EIRELI-ME,MP4 PRODUÇÕES,12.571.695/0001-40
37879,07.382.205/0001-28,STUDIO WILD LTDA - ME,BRADDOCK PRODUÇÃO CINEMATOGRÁFICA LTDA,13.165.666/0001-41
43814,34.159.783/0001-72,INSPIRAÇÃO FILMES EIRELI,CONSTELAÇÃO FILMES LTDA,05.758.725/0001-67
26591,19.442.911/0001-05,ASSOCIAÇÃO CULTURAL ARTE PAJUÇARA,LA URSA CINEMATOGRÁFICA LTDA,22.000.363/0001-60
15952,09.549.087/0001-25,A ILHA FILMES LOCAÇÕES E PRODUÇÕES LTDA ME,"BG PRODUÇÃO, COMUNICAÇÃO, LOCAÇÃO DE EQUIPAMENTOS E MARKETING LTDA",35.421.036/0001-23
2849,06.107.805/0001-15,ITAIGARA PLEXCINE LTDA.,UCI-ORIENT LTDA,01.562.356/0001-81
1229,33.924.739/0001-49,EMPRESA CINE TEATRO TAMOIO LTDA,UCI-ORIENT LTDA,01.562.356/0001-81
17750,10.519.798/0001-36,NOVA TRINITI COMUNICAÇÃO E PRODUÇÃO ARTÍSTICA LTDA ME,KROMAKI FILMES LTDA,43.511.177/0001-65
14259,08.234.482/0001-56,SPRING PUBLICAÇÕES LTDA.,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,61.914.891/0001-86
27548,20.302.496/0001-65,TRUE MOTION ENTERTAINMENT LTDA EPP,77.515.120/0001-56,03.975.566/0001-27
38180,13.784.164/0001-07,GARAGEM FILMES LTDA ME,MIRO FILMES EIRELI,36.348.976/0001-05
14603,58.374.497/0001-98,STUDIUM P.A ÁUDIO E VÍDEO LTDA EPP,"HS COMERCIO, LOCACOES E SERVICOS DE INFORMATICA AUDIO E VIDEO LTDA",04.496.798/0001-65
39381,29.893.870/0001-19,BMK PRODUCOES AUDIOVISUAIS LTDA,HYPE ARTS & FILMS LTDA,46.459.265/0001-53
36339,19.439.038/0001-93,LIGUE TV POR ASSINATURA LTDA,LIGUE MÓVEL S.A.,10.442.435/0001-40
