REGISTRO_ANCINE,CNPJ_EMPRESA,RAZAO_SOCIAL,EMPRESA_ASSOCIADA,CNPJ_EMPRESA_ASSOCIADA
48289,41.245.372/0001-65,NARRATIVA FILMES EIRELI,SONHAR FILMES - EIRELI,21.839.500/0001-91
42770,03.006.470/0001-50,ASSOCIACAO DAS ENTIDADES USUARIAS DE CANAL COMUNITARIO NO DISTRITO FEDERAL - TV COMUNITARIA,ASSOCIAÇÃO BRASILEIRA DE CANAIS COMUNITÁRIOS,04.789.808/0001-50
37607,24.078.533/0001-54,RTV PRODUTORA LTDA EPP,R.L. DE ARRUDA FILHO - FILMES - ME,23.024.509/0001-70
49581,41.864.145/0001-18,CABANA STUDIO FOTOGRAFIA E CINEMATOGRAFIA LTDA,A DUPLA FOTOGRAFIA E CINEMATOGRAFIA LTDA - ME,10.429.582/0001-80
29638,07.970.513/0001-74,BELGRADO PRODUÇÕES CINEMATOGRÁFICAS LTDA.,BELGRADO VÍDEO PRODUÇÃO LTDA,32.846.188/0001-80
12384,06.092.590/0001-06,VEGA VÍDEO FILMES LTDA,VEGA FILMES LTDA,07.820.299/0001-70
52671,44.345.653/0001-88,FIDALGO PRODUCOES LTDA,FIDALGO PRODUÇÕES LTDA,01.420.297/0001-07
29227,13.675.070/0001-91,PAN FILMES PRODUCAO E DISTRIBUICAO LTDA,ALICE URANO FILMES CONSULTORIA PRODUÇÃO E DISTRIBUIÇÃO LTDA,04.510.201/0001-90
19963,14.173.808/0001-85,JONATHAN POST FILMES LTDA,LUIS CARONE BLUMENFELD -ME,18.151.953/0001-16
23920,11.762.230/0001-04,D4G COMUNICACAO E DESIGN LTDA,PROSPERIDADE COMUNICAÇÃO E FILMES LTDA,17.545.702/0001-53
5845,02.710.824/0001-80,ESCAMILLA LTDA - ME,CAOS PRODUÇÕES,04.882.236/0001-50
17210,10.924.794/0001-33,BALAIO PRODUCAO DE VIDEO LTDA ME,FELIPE CELSO BALISTA PRODUÇÃO DE VÍDEO - ME,21.244.468/0001-00
2819,33.032.145/0001-23,AUDIOSTORE COMUNICAÇÃO LTDA,ESTAÇÃO KIDS PRODUÇÕES INFANTIS LTDA ME,24.467.743/0001-34
12653,02.488.036/0001-91,VIDEO ONE TELECOMUNICAÇÃO LTDA,ESTAÇÃO KIDS PRODUÇÕES INFANTIS LTDA ME,24.467.743/0001-34
35876,15.184.293/0001-81,COMP PRODUTORA DE AUDIO E VIDEO LTDA,BOLT PRODUTORA CRIATIVA LTDA,13.766.442/0001-95
890,64.044.886/0001-58,FILMART PRODUÇÕES ARTISTICAS LTDA,SUPERTRUNFO - COMUNICACOES LTDA,01.916.445/0001-89
49731,04.448.996/0001-53,INTERVÊ SERVIÇOS LTDA,W. S. MUSIC LTDA,10.826.565/0001-86
37591,10.545.718/0001-17,DIG NOG PRODUÇÕES LTDA - EPP,MUSICKERIA ENTRETENIMENTO LTDA,16.098.086/0001-77
41941,32.243.334/0001-82,J G MELO JUNIOR,JOSE GRACILDO MELO JUNIOR 09627706710,14.252.772/0001-25
3580,01.848.189/0001-30,PONTO D COMUNICAÇÃO INTERATIVA LTDA,Z CREATIVE CONTENT SERVIÇOS DE AUDIOVISUAL LTDA,35.830.036/0001-87
21462,06.963.031/0001-24,MOOVE HOUSE IDEIAS CRIATIVAS E AUDIOVISUAIS LTDA - ME,KNAUTH GESTÃO DE NEGÓCIOS LTDA-ME,30.132.288/0001-19
30840,22.779.542/0001-47,ABAPORU NARRATIVAS VISUAIS LTDA,"CASH COW - PRODUCÕES, COMUNICAÇÃO E MARKETING LTDA",03.754.267/0001-62
44041,30.456.242/0001-55,CINE ELI SERGIPE CINEMAS LTDA,CINEMATOGRAFICA NORDESTE LTDA,21.599.452/0001-01
38508,23.522.087/0001-62,AGÊNCIA DE IDEIAS PRODUÇÕES CULTURAIS E EDITORIAIS LTDA - ME,AMORA FILMES B LTDA,17.293.533/0001-01
23713,02.939.844/0001-28,HD BIZ PRODUÇÕES AUDIOVISUAIS LTDA-ME,TAUS PRODUCOES AUDIOVISUAIS EIRELI,57.312.878/0001-80
1936,04.547.429/0001-54,QUARTETO FILMES PRODUCOES LTDA,QUARTETO FILMES SP LTDA,33.570.762/0001-82
40978,30.571.603/0001-04,MC BULLARA FILMES ME,SWEET SUIT FILMES,19.534.934/0001-31
43,73.619.637/0001-34,FILMES DO EQUADOR LTDA.,PRODUÇÕES CINEMATOGRÁFICAS LC BARRETO LTDA,33.450.990/0001-19
3136,03.608.600/0001-25,MSA EMPRESA CINEMATOGRÁFICA LTDA,CINEMAS ALVORADA DIVERSÕES LTDA,02.104.789/0001-56
